rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
273,"value__fft_coefficient__attr_""abs""__coeff_29","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","value__fft_coefficient__attr_""real""__coeff_21","value__fft_coefficient__attr_""real""__coeff_81","value__fft_coefficient__attr_""real""__coeff_85"
274,"value__fft_coefficient__attr_""real""__coeff_56","value__fft_coefficient__attr_""angle""__coeff_14","value__fft_coefficient__attr_""abs""__coeff_55","value__fft_coefficient__attr_""real""__coeff_82","value__fft_coefficient__attr_""real""__coeff_86"
275,"value__fft_coefficient__attr_""angle""__coeff_39","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","value__fft_coefficient__attr_""angle""__coeff_40","value__fft_coefficient__attr_""real""__coeff_83","value__fft_coefficient__attr_""real""__coeff_87"
276,value__c3__lag_3,value__fourier_entropy__bins_5,"value__fft_coefficient__attr_""real""__coeff_58","value__fft_coefficient__attr_""real""__coeff_84","value__fft_coefficient__attr_""real""__coeff_88"
277,"value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_70","value__fft_coefficient__attr_""abs""__coeff_39","value__fft_coefficient__attr_""real""__coeff_85","value__fft_coefficient__attr_""real""__coeff_89"
278,"value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""imag""__coeff_61",value__root_mean_square,"value__fft_coefficient__attr_""real""__coeff_86","value__fft_coefficient__attr_""real""__coeff_90"
279,"value__fft_coefficient__attr_""abs""__coeff_94","value__fft_coefficient__attr_""imag""__coeff_46","value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_87","value__fft_coefficient__attr_""real""__coeff_91"
280,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","value__linear_trend__attr_""stderr""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,"value__fft_coefficient__attr_""real""__coeff_88","value__fft_coefficient__attr_""real""__coeff_92"
281,"value__fft_coefficient__attr_""real""__coeff_21","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_89","value__fft_coefficient__attr_""real""__coeff_93"
282,value__spkt_welch_density__coeff_5,"value__fft_coefficient__attr_""imag""__coeff_21","value__fft_coefficient__attr_""angle""__coeff_2","value__fft_coefficient__attr_""real""__coeff_90","value__fft_coefficient__attr_""real""__coeff_94"
283,value__c3__lag_1,value__symmetry_looking__r_0.15000000000000002,"value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__fft_coefficient__attr_""real""__coeff_91","value__fft_coefficient__attr_""real""__coeff_95"
284,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","value__fft_coefficient__attr_""angle""__coeff_30","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","value__fft_coefficient__attr_""real""__coeff_92","value__fft_coefficient__attr_""real""__coeff_96"
285,value__energy_ratio_by_chunks__num_segments_10__segment_focus_9,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",value__spkt_welch_density__coeff_2,"value__fft_coefficient__attr_""real""__coeff_93","value__fft_coefficient__attr_""real""__coeff_97"
286,"value__fft_coefficient__attr_""imag""__coeff_12","value__fft_coefficient__attr_""angle""__coeff_44","value__fft_coefficient__attr_""abs""__coeff_72","value__fft_coefficient__attr_""real""__coeff_94","value__fft_coefficient__attr_""real""__coeff_98"
287,"value__fft_coefficient__attr_""abs""__coeff_84","value__fft_coefficient__attr_""abs""__coeff_41","value__fft_coefficient__attr_""angle""__coeff_75","value__fft_coefficient__attr_""real""__coeff_95","value__fft_coefficient__attr_""real""__coeff_99"
288,value__median,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","value__fft_coefficient__attr_""imag""__coeff_71","value__fft_coefficient__attr_""real""__coeff_96","value__fft_coefficient__attr_""imag""__coeff_1"
289,"value__fft_coefficient__attr_""real""__coeff_64","value__fft_coefficient__attr_""imag""__coeff_27","value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_97","value__fft_coefficient__attr_""imag""__coeff_2"
290,"value__fft_coefficient__attr_""abs""__coeff_23",value__number_crossing_m__m_-1,"value__fft_coefficient__attr_""abs""__coeff_38","value__fft_coefficient__attr_""real""__coeff_98","value__fft_coefficient__attr_""imag""__coeff_3"
291,"value__fft_coefficient__attr_""imag""__coeff_46","value__fft_coefficient__attr_""imag""__coeff_48","value__fft_coefficient__attr_""angle""__coeff_30","value__fft_coefficient__attr_""real""__coeff_99","value__fft_coefficient__attr_""imag""__coeff_4"
292,"value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_85",value__lempel_ziv_complexity__bins_5,"value__fft_coefficient__attr_""imag""__coeff_1","value__fft_coefficient__attr_""imag""__coeff_5"
293,"value__fft_coefficient__attr_""angle""__coeff_53","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_30","value__fft_coefficient__attr_""imag""__coeff_2","value__fft_coefficient__attr_""imag""__coeff_6"
294,"value__fft_coefficient__attr_""abs""__coeff_18","value__fft_coefficient__attr_""imag""__coeff_32","value__fft_coefficient__attr_""real""__coeff_38","value__fft_coefficient__attr_""imag""__coeff_3","value__fft_coefficient__attr_""imag""__coeff_7"
295,value__time_reversal_asymmetry_statistic__lag_1,"value__fft_coefficient__attr_""abs""__coeff_88","value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_4","value__fft_coefficient__attr_""imag""__coeff_8"
296,"value__fft_coefficient__attr_""abs""__coeff_96","value__fft_coefficient__attr_""imag""__coeff_36","value__fft_coefficient__attr_""abs""__coeff_69","value__fft_coefficient__attr_""imag""__coeff_5","value__fft_coefficient__attr_""imag""__coeff_9"
297,"value__fft_coefficient__attr_""imag""__coeff_70","value__fft_coefficient__attr_""angle""__coeff_23","value__fft_coefficient__attr_""real""__coeff_24","value__fft_coefficient__attr_""imag""__coeff_6","value__fft_coefficient__attr_""imag""__coeff_10"
298,"value__fft_coefficient__attr_""real""__coeff_68","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",value__longest_strike_below_mean,"value__fft_coefficient__attr_""imag""__coeff_7","value__fft_coefficient__attr_""imag""__coeff_11"
299,"value__fft_coefficient__attr_""abs""__coeff_80","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","value__fft_coefficient__attr_""imag""__coeff_8","value__fft_coefficient__attr_""imag""__coeff_12"
300,"value__fft_coefficient__attr_""real""__coeff_38","value__fft_coefficient__attr_""abs""__coeff_75","value__fft_coefficient__attr_""angle""__coeff_72","value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""imag""__coeff_13"
301,"value__fft_coefficient__attr_""real""__coeff_69",value__ar_coefficient__coeff_6__k_10,"value__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_10","value__fft_coefficient__attr_""imag""__coeff_14"
302,"value__fft_coefficient__attr_""abs""__coeff_30","value__fft_coefficient__attr_""real""__coeff_5","value__fft_coefficient__attr_""imag""__coeff_40","value__fft_coefficient__attr_""imag""__coeff_11","value__fft_coefficient__attr_""imag""__coeff_15"
303,"value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_22","value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_12","value__fft_coefficient__attr_""imag""__coeff_16"
304,"value__fft_coefficient__attr_""imag""__coeff_35","value__linear_trend__attr_""slope""",value__fourier_entropy__bins_5,"value__fft_coefficient__attr_""imag""__coeff_13","value__fft_coefficient__attr_""imag""__coeff_17"
305,"value__fft_coefficient__attr_""angle""__coeff_51","value__fft_coefficient__attr_""imag""__coeff_26","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_14","value__fft_coefficient__attr_""imag""__coeff_18"
306,"value__fft_coefficient__attr_""abs""__coeff_46","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","value__fft_coefficient__attr_""real""__coeff_56","value__fft_coefficient__attr_""imag""__coeff_15","value__fft_coefficient__attr_""imag""__coeff_19"
307,"value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_66","value__fft_coefficient__attr_""abs""__coeff_60","value__fft_coefficient__attr_""imag""__coeff_16","value__fft_coefficient__attr_""imag""__coeff_20"
308,"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_17","value__fft_coefficient__attr_""imag""__coeff_21"
309,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",value__variance_larger_than_standard_deviation,"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""","value__fft_coefficient__attr_""imag""__coeff_18","value__fft_coefficient__attr_""imag""__coeff_22"
310,"value__fft_coefficient__attr_""abs""__coeff_91","value__fft_coefficient__attr_""real""__coeff_3","value__fft_coefficient__attr_""abs""__coeff_68","value__fft_coefficient__attr_""imag""__coeff_19","value__fft_coefficient__attr_""imag""__coeff_23"
311,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""","value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_18","value__fft_coefficient__attr_""imag""__coeff_20","value__fft_coefficient__attr_""imag""__coeff_24"
312,"value__fft_coefficient__attr_""real""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_34",value__length,"value__fft_coefficient__attr_""imag""__coeff_21","value__fft_coefficient__attr_""imag""__coeff_25"
313,"value__fft_coefficient__attr_""abs""__coeff_43","value__fft_coefficient__attr_""angle""__coeff_28","value__fft_coefficient__attr_""abs""__coeff_24","value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""imag""__coeff_26"
314,"value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_33","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""","value__fft_coefficient__attr_""imag""__coeff_23","value__fft_coefficient__attr_""imag""__coeff_27"
315,value__fourier_entropy__bins_100,"value__fft_coefficient__attr_""angle""__coeff_25","value__fft_coefficient__attr_""angle""__coeff_39","value__fft_coefficient__attr_""imag""__coeff_24","value__fft_coefficient__attr_""imag""__coeff_28"
316,value__c3__lag_2,"value__fft_coefficient__attr_""angle""__coeff_97",value__benford_correlation,"value__fft_coefficient__attr_""imag""__coeff_25","value__fft_coefficient__attr_""imag""__coeff_29"
317,value__variance_larger_than_standard_deviation,"value__fft_coefficient__attr_""imag""__coeff_24","value__fft_coefficient__attr_""abs""__coeff_36","value__fft_coefficient__attr_""imag""__coeff_26","value__fft_coefficient__attr_""imag""__coeff_30"
318,"value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_52","value__fft_coefficient__attr_""imag""__coeff_27","value__fft_coefficient__attr_""imag""__coeff_31"
319,value__minimum,value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,value__median,"value__fft_coefficient__attr_""imag""__coeff_28","value__fft_coefficient__attr_""imag""__coeff_32"
320,"value__fft_coefficient__attr_""imag""__coeff_16","value__fft_coefficient__attr_""angle""__coeff_20","value__fft_coefficient__attr_""angle""__coeff_11","value__fft_coefficient__attr_""imag""__coeff_29","value__fft_coefficient__attr_""imag""__coeff_33"
321,"value__fft_coefficient__attr_""abs""__coeff_81","value__fft_coefficient__attr_""angle""__coeff_77",value__spkt_welch_density__coeff_5,"value__fft_coefficient__attr_""imag""__coeff_30","value__fft_coefficient__attr_""imag""__coeff_34"
322,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_2","value__fft_coefficient__attr_""abs""__coeff_65","value__fft_coefficient__attr_""imag""__coeff_31","value__fft_coefficient__attr_""imag""__coeff_35"
323,"value__fft_coefficient__attr_""real""__coeff_36","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","value__fft_coefficient__attr_""imag""__coeff_70","value__fft_coefficient__attr_""imag""__coeff_32","value__fft_coefficient__attr_""imag""__coeff_36"
324,"value__fft_coefficient__attr_""real""__coeff_60","value__fft_coefficient__attr_""angle""__coeff_59","value__fft_coefficient__attr_""real""__coeff_85","value__fft_coefficient__attr_""imag""__coeff_33","value__fft_coefficient__attr_""imag""__coeff_37"
325,"value__fft_coefficient__attr_""imag""__coeff_29",value__ar_coefficient__coeff_2__k_10,"value__fft_coefficient__attr_""imag""__coeff_55","value__fft_coefficient__attr_""imag""__coeff_34","value__fft_coefficient__attr_""imag""__coeff_38"
326,"value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_46","value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_35","value__fft_coefficient__attr_""imag""__coeff_39"
327,"value__fft_coefficient__attr_""abs""__coeff_93","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_85","value__fft_coefficient__attr_""imag""__coeff_36","value__fft_coefficient__attr_""imag""__coeff_40"
328,"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_71","value__fft_coefficient__attr_""imag""__coeff_57","value__fft_coefficient__attr_""imag""__coeff_37","value__fft_coefficient__attr_""imag""__coeff_41"
329,value__ar_coefficient__coeff_3__k_10,"value__fft_coefficient__attr_""abs""__coeff_64","value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_38","value__fft_coefficient__attr_""imag""__coeff_42"
330,"value__fft_coefficient__attr_""imag""__coeff_18","value__fft_coefficient__attr_""imag""__coeff_66","value__fft_coefficient__attr_""abs""__coeff_61","value__fft_coefficient__attr_""imag""__coeff_39","value__fft_coefficient__attr_""imag""__coeff_43"
331,"value__fft_coefficient__attr_""real""__coeff_41","value__fft_coefficient__attr_""imag""__coeff_44","value__fft_coefficient__attr_""angle""__coeff_62","value__fft_coefficient__attr_""imag""__coeff_40","value__fft_coefficient__attr_""imag""__coeff_44"
332,value__autocorrelation__lag_4,"value__fft_coefficient__attr_""abs""__coeff_54","value__fft_coefficient__attr_""real""__coeff_86","value__fft_coefficient__attr_""imag""__coeff_41","value__fft_coefficient__attr_""imag""__coeff_45"
333,"value__fft_coefficient__attr_""abs""__coeff_33",value__energy_ratio_by_chunks__num_segments_10__segment_focus_7,value__variance,"value__fft_coefficient__attr_""imag""__coeff_42","value__fft_coefficient__attr_""imag""__coeff_46"
334,"value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_41","value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_43","value__fft_coefficient__attr_""imag""__coeff_47"
335,"value__fft_coefficient__attr_""real""__coeff_88","value__fft_coefficient__attr_""angle""__coeff_45",value__number_crossing_m__m_1,"value__fft_coefficient__attr_""imag""__coeff_44","value__fft_coefficient__attr_""imag""__coeff_48"
336,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","value__fft_coefficient__attr_""imag""__coeff_39","value__fft_coefficient__attr_""angle""__coeff_68","value__fft_coefficient__attr_""imag""__coeff_45","value__fft_coefficient__attr_""imag""__coeff_49"
337,"value__fft_coefficient__attr_""angle""__coeff_88","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","value__fft_coefficient__attr_""abs""__coeff_43","value__fft_coefficient__attr_""imag""__coeff_46","value__fft_coefficient__attr_""imag""__coeff_50"
338,"value__fft_coefficient__attr_""abs""__coeff_20","value__fft_coefficient__attr_""imag""__coeff_35",value__count_above_mean,"value__fft_coefficient__attr_""imag""__coeff_47","value__fft_coefficient__attr_""imag""__coeff_51"
339,value__number_peaks__n_1,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__fft_coefficient__attr_""imag""__coeff_82","value__fft_coefficient__attr_""imag""__coeff_48","value__fft_coefficient__attr_""imag""__coeff_52"
